key_resp_instr_a.keys,key_resp_instr_a.rt,key_resp_instr_b.keys,key_resp_instr_b.rt,dummy.thisRepN,dummy.thisTrialN,dummy.thisN,dummy.thisIndex,dummy.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instr1.keys,key_resp_instr1.rt,key_resp.keys,key_resp.rt,exp_loop.thisRepN,exp_loop.thisTrialN,exp_loop.thisN,exp_loop.thisIndex,exp_loop.ran,Word,English,Flip,Path,Audio,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_fct.keys,key_resp_fct.corr,key_resp_fct.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fct_loop.thisRepN,fct_loop.thisTrialN,fct_loop.thisN,fct_loop.thisIndex,fct_loop.ran,left_img,word,right_img,correctans,correct_img,audio,incorrect_feedback,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_instr3.keys,key_resp_instr3.rt,textbox.text,key_resp_2.keys,key_resp_2.rt,fb_yn.thisRepN,fb_yn.thisTrialN,fb_yn.thisN,fb_yn.thisIndex,fb_yn.ran,gather_loop.thisRepN,gather_loop.thisTrialN,gather_loop.thisN,gather_loop.thisIndex,gather_loop.ran,Text,Wordbank,key_resp_instr4.keys,key_resp_instr4.rt,master_loop.thisRepN,master_loop.thisTrialN,master_loop.thisN,master_loop.thisIndex,master_loop.ran,exposure_file,instr_1,exp_reps,fct_file,instr_2,gather_file,gather_reps,instr_3,fReps,instr_4,NegVSentence,VNegSentence,NegTF
space,6.6018,space,10.618,0,0,0,0,1,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,space,10.4375,space,6.2581,0,0,0,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,6.8508,0,1,1,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,13.178,0,2,2,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,7.5853,0,3,3,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,10.6393,0,4,4,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,6.9575,0,5,5,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,8.0332,1,0,6,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,4.6558,1,1,7,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,3.9972,1,2,8,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,5.0924,1,3,9,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,3.2388,1,4,10,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,4.3545,1,5,11,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,2.6011,2,0,12,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,1.6302,2,1,13,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,1.1133,2,2,14,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,1.5951,2,3,15,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,0.9347,2,4,16,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,space,1.0686,2,5,17,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,space,3.6704,left,1,3.199,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,CartoonStims/artist_r.jpg,シド,CartoonStims/burglar_r.jpg,left,CartoonStims/artist_r.jpg,audio/sido.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_WreRxGiHz0XYI7f,2022-07-03_18h59.14.587,jpn_C01,2022.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,left,1,1.5005,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
