key_resp_instr_a.keys,key_resp_instr_a.rt,key_resp_instr_b.keys,key_resp_instr_b.rt,dummy.thisRepN,dummy.thisTrialN,dummy.thisN,dummy.thisIndex,dummy.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instr1.keys,key_resp_instr1.rt,key_resp.keys,key_resp.rt,exp_loop.thisRepN,exp_loop.thisTrialN,exp_loop.thisN,exp_loop.thisIndex,exp_loop.ran,Word,English,Flip,Path,Audio,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_fct.keys,key_resp_fct.corr,key_resp_fct.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fct_loop.thisRepN,fct_loop.thisTrialN,fct_loop.thisN,fct_loop.thisIndex,fct_loop.ran,left_img,word,right_img,correctans,correct_img,audio,incorrect_feedback,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_instr3.keys,key_resp_instr3.rt,textbox.text,key_resp_2.keys,key_resp_2.rt,fb_yn.thisRepN,fb_yn.thisTrialN,fb_yn.thisN,fb_yn.thisIndex,fb_yn.ran,gather_loop.thisRepN,gather_loop.thisTrialN,gather_loop.thisN,gather_loop.thisIndex,gather_loop.ran,Text,Wordbank,key_resp_instr4.keys,key_resp_instr4.rt,master_loop.thisRepN,master_loop.thisTrialN,master_loop.thisN,master_loop.thisIndex,master_loop.ran,exposure_file,instr_1,exp_reps,fct_file,instr_2,gather_file,gather_reps,instr_3,fReps,instr_4,NegVSentence,VNegSentence,NegTF
space,2.6208,space,9.7073,0,0,0,0,1,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,space,8.9338,space,4.5837,0,0,0,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,3.0504,0,1,1,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,3.3039,0,2,2,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,3.5675,0,3,3,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,4.3339,0,4,4,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,3.5679,0,5,5,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,2.8853,1,0,6,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,2.4447,1,1,7,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,1.9719,1,2,8,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,2.6075,1,3,9,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,1.7842,1,4,10,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,1.7618,1,5,11,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,1.7736,2,0,12,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,1.6835,2,1,13,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,1.5504,2,2,14,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,1.5341,2,3,15,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,2.0921,2,4,16,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,space,2.2773,2,5,17,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,,,,,,,,,,,,,space,1.7938,left,1,1.3739,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,CartoonStims/cowboy_r.jpg,ムク,CartoonStims/doctor_r.jpg,left,CartoonStims/cowboy_r.jpg,audio/muku.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,,,,,,,,,,,,,,,right,1,0.7736,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_2YAoSy7VJV3YAYv,2022-06-24_23h24.19.600,jpn_C01,2022.1.2,Linux x86_64,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,11,1,CartoonStims/burglar_r.jpg,ドキ,CartoonStims/boxer_r.jpg,right,CartoonStims/boxer_r.jpg,audio/doki.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
