key_resp_instr_a.keys,key_resp_instr_a.rt,key_resp_instr_b.keys,key_resp_instr_b.rt,dummy.thisRepN,dummy.thisTrialN,dummy.thisN,dummy.thisIndex,dummy.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_instr1.keys,key_resp_instr1.rt,key_resp.keys,key_resp.rt,exp_loop.thisRepN,exp_loop.thisTrialN,exp_loop.thisN,exp_loop.thisIndex,exp_loop.ran,Word,English,Flip,Path,Audio,key_resp_instr2.keys,key_resp_instr2.rt,key_resp_fct.keys,key_resp_fct.corr,key_resp_fct.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fct_loop.thisRepN,fct_loop.thisTrialN,fct_loop.thisN,fct_loop.thisIndex,fct_loop.ran,left_img,word,right_img,correctans,correct_img,audio,incorrect_feedback,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_instr3.keys,key_resp_instr3.rt,textbox.text,key_resp_2.keys,key_resp_2.rt,fb_yn.thisRepN,fb_yn.thisTrialN,fb_yn.thisN,fb_yn.thisIndex,fb_yn.ran,gather_loop.thisRepN,gather_loop.thisTrialN,gather_loop.thisN,gather_loop.thisIndex,gather_loop.ran,Text,Wordbank,key_resp_instr4.keys,key_resp_instr4.rt,master_loop.thisRepN,master_loop.thisTrialN,master_loop.thisN,master_loop.thisIndex,master_loop.ran,exposure_file,instr_1,exp_reps,fct_file,instr_2,gather_file,gather_reps,instr_3,fReps,instr_4,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,NegVSentence,VNegSentence,NegTF
space,6.5294,space,10.2508,0,0,0,0,1,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,space,41.8659,space,22.6647,0,0,0,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,9.823,0,1,1,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,13.7349,0,2,2,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,4.2512,0,3,3,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,8.3805,0,4,4,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,6.1501,0,5,5,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,1.7336,1,0,6,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,2.74,1,1,7,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,6.602,1,2,8,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,5.6653,1,3,9,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,1.8873,1,4,10,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,5.108,1,5,11,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,3.6824,2,0,12,0,1,シド,artist,,CartoonStims/artist_r.jpg,audio/sido.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,1.2423,2,1,13,1,1,ルピン,burglar,,CartoonStims/burglar_r.jpg,audio/lupin.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,1.3339,2,2,14,3,1,ムク,cowboy,,CartoonStims/cowboy_r.jpg,audio/muku.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,0.8834,2,3,15,2,1,ホレト,chef,,CartoonStims/chef_r.jpg,audio/horeto.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,2.8014,2,4,16,5,1,ドキ,boxer,,CartoonStims/boxer_r.jpg,audio/doki.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,space,1.0871,2,5,17,4,1,ピポ,doctor,,CartoonStims/doctor_r.jpg,audio/pipo.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,,,,,,,,,,,,,space,5.4327,left,1,1.7399,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,CartoonStims/cowboy_r.jpg,ムク,CartoonStims/doctor_r.jpg,left,CartoonStims/cowboy_r.jpg,audio/muku.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,,,,,,,,,,,,,,,left,1,0.6847,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5,1,CartoonStims/boxer_r.jpg,ドキ,CartoonStims/artist_r.jpg,left,CartoonStims/boxer_r.jpg,audio/doki.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,,,,,,,,,,,,,,,right,1,1.5081,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,1,CartoonStims/chef_r.jpg,シド,CartoonStims/artist_r.jpg,right,CartoonStims/artist_r.jpg,audio/sido.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,,,,,,,,,,,,,,,left,1,0.867,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,1,CartoonStims/chef_r.jpg,ホレト,CartoonStims/cowboy_r.jpg,left,CartoonStims/chef_r.jpg,audio/horeto.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,,,,,,,,,,,,,,,left,1,1.3229,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,R_1jOkqhkzWX4GFfj,2022-09-01_19h37.13.165,jpn_C02,2022.1.2,Win32,59.87306909,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,CartoonStims/doctor_r.jpg,ピポ,CartoonStims/boxer_r.jpg,left,CartoonStims/doctor_r.jpg,audio/pipo.mp3,残念！ こちらが正しい画像です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
